,,,2D Analysis of MBP (-debris) area,,,,,,,,,,,,,,3D Wrappiing Analysis of the 2D images,,,,group averages,,,,,,,,,
Well,[debris],[stim],nuclei,MBP-count,MBP-area,MBP-int,MBP-circ,debris-count,debris-area,debris-int,debris-circ,subtracted-count,subtracted-area,subtr-area-per-nuclei,subtracted-int,subtracted-circ,80-wrapped-cond (Ezra algo),80-wrapped-uc (Ezra algo),2D wrapping index (OG algo),,[debris],[stim],nuclei,MBP-area,debris-area,subtracted-area,subtr-area-per-nuclei,2D wrapping index,area SEM,WI SEM
D10,0,333,4790,2026,108485,13822.66,0.812,5,466,7782.22,0.263,2028,108313,22.61,13787.03,0.812,496,102,0.06263048,,,,,,,,,,,
B11,0,1000,4598,2483,102210,10315.2,0.841,63,595,6955.83,0.372,2479,101893,22.16,10295.83,0.841,220,74,0.039364941,,,,,,,,,,,
C11,0,1000,4425,2484,124875,13305.33,0.852,278,885,6135.19,0.758,2486,124587,28.16,13261.88,0.851,270,104,0.059661017,,,,,,,,,,,
D11,0,1000,5073,2330,91211,10088.63,0.839,9,121,2554.72,0.419,2330,91207,17.98,10088.21,0.839,223,59,0.032525133,,,,,,,,,,,
E2,750,0.050777778,6344,6130,171635,7202.15,0.848,10059,146758,3617.53,0.956,6658,117367,18.50,4670,0.794,54,9,0.006147541,,,,,,,,,,,
F2,750,0.050777778,5808,4748,110072,5871.15,0.865,10466,142448,3436.1,0.958,4555,61623,10.61,3450.54,0.827,12,1,0.00137741,,,,,,,,,,,
G2,750,0.050777778,5585,6214,136425,5622.19,0.867,10337,94722,2330.79,0.958,6678,88365,15.82,3392.09,0.803,16,2,0.003043868,,,,,,,,,,,
E3,750,0.152333333,6264,7197,236893,8460.25,0.845,4360,51503,2933.13,0.915,7565,202719,32.36,6955.36,0.791,723,60,0.048690932,,,,,,,,,,,
F3,750,0.152333333,6132,7322,256871,8997.85,0.848,4390,50154,2882.72,0.924,6784,211657,34.52,8018.81,0.808,519,37,0.036692759,,,,,,,,,,,
G3,750,0.152333333,6295,6718,273048,10393.56,0.834,3335,43440,3300.53,0.925,6643,242653,38.55,9351.35,0.795,739,63,0.049880858,,,,,,,,,,,
E4,750,0.457,5756,8911,235741,6747.04,0.847,5975,70350,2984.17,0.91,9583,190664,33.12,5061.36,0.797,841,93,0.082870049,,,,,,,,,,,
F4,750,0.457,5975,8713,254956,7514.89,0.843,5603,66795,3031.97,0.913,8782,216542,36.24,6304.01,0.801,698,79,0.061589958,,,,,,,,,,,
G4,750,0.457,6239,7059,249896,9052.17,0.845,3552,40864,2944.68,0.925,7192,218193,34.97,7747.14,0.796,872,106,0.073248918,,,,,,,,,,,
E5,750,1.37,5921,9861,284796,7381.85,0.848,7556,86279,2910.72,0.906,10576,225045,38.01,5428.15,0.793,954,118,0.093903057,,,,,,,,,,,
F5,750,1.37,6242,9235,256069,7116.27,0.853,5538,63756,2997.09,0.921,9269,208659,33.43,5749.19,0.809,845,94,0.075296379,,,,,,,,,,,
G5,750,1.37,6264,7829,275547,8996.5,0.843,3786,39816,2720.49,0.927,7771,248492,39.67,8170.96,0.805,1042,131,0.092752235,,,,,,,,,,,
E6,750,4.12,6171,10616,262905,6289.75,0.85,7612,75254,2532.31,0.916,11328,208695,33.82,4682.22,0.791,1180,161,0.113271755,,,,,,,,,,,
F6,750,4.12,6463,9376,281011,7733.75,0.848,6047,63742,2696.62,0.914,9389,228717,35.39,6340.97,0.804,1037,115,0.082005261,,,,,,,,,,,
G6,750,4.12,6595,8948,278452,7985.08,0.852,4435,52059,3058.5,0.929,9143,247971,37.60,6960.67,0.807,1214,205,0.109173616,,,,,,,,,,,
E7,750,12.4,5529,8097,219185,6935.64,0.853,6305,73093,2980.85,0.903,8769,176133,31.86,5147.97,0.794,1220,252,0.151383614,,,,,,,,,,,
F7,750,12.4,6478,10070,266388,6730.78,0.861,6492,70521,2898.24,0.924,10153,212947,32.87,5355.81,0.814,893,145,0.097406607,,,,,,,,,,,
G7,750,12.4,5876,9145,273284,7722.87,0.855,4863,46579,2500.27,0.931,9239,228903,38.96,6415.85,0.813,950,158,0.099557522,,,,,,,,,,,
E8,750,37,6188,11056,303375,7087.43,0.852,7757,80836,2625.88,0.913,11794,239175,38.65,5253.56,0.801,1073,122,0.093568197,,,,,,,,,,,
F8,750,37,3612,2209,89538,9330.5,0.87,1210,18827,3789.04,0.889,2270,63230,17.51,7242.57,0.795,12,0,0.000830565,,,,,,,,,,,
G8,750,37,6269,6923,249504,9378.56,0.853,2634,28067,2738.92,0.945,6875,236476,37.72,8969.94,0.821,1438,411,0.17291434,,,,,,,,,,,
E9,750,111,3735,2220,40721,4115.66,0.82,833,8164,2792.95,0.924,2260,33491,8.97,3602.62,0.835,1,0,0,,,,,,,,,,,
F9,750,111,6447,10326,279724,7071.41,0.851,6090,62112,2715.49,0.924,10410,235045,36.46,5951.91,0.813,1022,133,0.092756321,,,,,,,,,,,
G9,750,111,6348,9267,296085,8173.77,0.849,5093,68892,3490.41,0.92,9659,249592,39.32,6638.99,0.811,1063,142,0.089161941,,,,,,,,,,,
E10,750,333,1240,5868,149147,6537.66,0.866,3015,33469,2866.03,0.911,6048,112176,90.46,4755.88,0.786,71,36,0.075806452,,,,,,,,,,,
F10,750,333,5820,9452,270858,7415.09,0.849,5317,58061,2792.32,0.917,9766,234528,40.30,6192.17,0.808,1086,115,0.097594502,,,,,,,,,,,
G10,750,333,5755,8304,298713,9232.89,0.848,4356,49725,2925.92,0.917,8579,255901,44.47,7670.37,0.803,926,114,0.083231972,,,,,,,,,,,
E11,750,1000,5169,8841,282963,8160.05,0.844,5588,71601,3341.49,0.905,9759,213390,41.28,5577.39,0.781,505,97,0.068678661,,,,,,,,,,,
F11,750,1000,5366,9985,288803,7416.38,0.844,4445,55690,3240.79,0.916,10533,237589,44.28,5793.87,0.8,495,76,0.060939247,,,,,,,,,,,
G11,750,1000,5024,9682,301914,8002.39,0.843,3539,43260,3177.97,0.927,10068,261027,51.96,6658.37,0.807,488,87,0.073447452,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cracked wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
